task,backend,quantization_backend,batch_size,num_prompts,latency_ms_mean,latency_ms_p50,latency_ms_p95,tokens_per_second_mean
chat,vllm,none,16,30,265.3158566604058,263.1755694746971,267.7618991583586,1919.7860634149033
reasoning,vllm,none,16,30,259.18403503795463,258.5149146616459,263.65999272093177,1777.6268498993036
chat,vllm,none,1,30,225.33897031098604,224.69763085246086,232.83413890749216,141.3389204486658
reasoning,vllm,none,1,30,233.2615341991186,232.21461940556765,239.9924331344664,137.228525549959
chat,vllm,none,32,30,329.8823479562998,329.8823479562998,329.8823479562998,3088.9800752084775
reasoning,vllm,none,32,30,310.9790065636237,309.6287678927183,320.76823692768806,2906.800765879234
chat,vllm,none,4,30,239.84759263694286,236.42813600599766,254.97460179030895,531.7054552966033
reasoning,vllm,none,4,30,234.94811741014323,237.2351996600628,238.23378793895245,544.9365595182062
chat,vllm,none,8,30,246.30678792794546,242.06471629440784,262.44112849235535,1035.853570486884
reasoning,vllm,none,8,30,238.57172081867853,241.45677872002125,241.96198396384716,998.5465197097507
chat,vllm,gptq_marlin,16,30,184.0668217589458,194.91675682365894,194.91675682365894,2787.3103043581314
reasoning,vllm,gptq_marlin,16,30,171.6689528276523,176.1944741010666,176.1944741010666,2675.976097055187
chat,vllm,gptq_marlin,1,30,144.88276410847902,143.6164639890194,156.64038360118866,220.6042353577729
reasoning,vllm,gptq_marlin,1,30,144.3474649141232,143.94379314035177,145.4709343612194,221.7234860803038
chat,vllm,gptq_marlin,32,30,262.761740013957,262.761740013957,262.761740013957,3889.4551388863338
reasoning,vllm,gptq_marlin,32,30,263.02945377926034,263.0485761910677,263.0485761910677,3438.4309881453187
chat,vllm,gptq_marlin,4,30,156.47180502613386,155.88262863457203,159.3014821410179,816.4431820499265
reasoning,vllm,gptq_marlin,4,30,152.68080855409303,152.2851511836052,155.78167513012886,838.5678267180418
chat,vllm,gptq_marlin,8,30,173.7808139373859,164.44887220859528,197.90244847536087,1480.462619489766
reasoning,vllm,gptq_marlin,8,30,162.06544625262418,163.02769258618355,167.71927010267973,1469.8302251034586
chat,vllm,gptq,16,30,426.2349121272564,569.6642864495516,569.6642864495516,1385.5275159521525
reasoning,vllm,gptq,16,30,266.45828038454056,279.0059968829155,279.0059968829155,1722.2090516961734
chat,vllm,gptq,1,30,190.9200057387352,180.6517457589507,205.62018435448402,172.26923049136983
reasoning,vllm,gptq,1,30,181.40097303936878,180.6401163339615,184.25142634660006,176.45673994202562
chat,vllm,gptq,32,30,813.9075692743063,813.9075692743063,813.9075692743063,1251.9849163075821
reasoning,vllm,gptq,32,30,533.105984951059,513.0487289279699,678.521091118454,1713.4602785849484
chat,vllm,gptq,4,30,212.1385432779789,173.7530156970024,452.7381490916014,669.9417942277775
reasoning,vllm,gptq,4,30,174.34887935717902,174.15384948253632,175.3652655519545,734.1700454590192
chat,vllm,gptq,8,30,292.7145124723514,226.6453243792057,499.6740482747555,994.9860731742749
reasoning,vllm,gptq,8,30,210.21785524984202,215.2996100485325,218.06268952786922,1126.723572861633
